hate_speech,tweet
non-hateful,!!! RT As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
non-hateful,!!!!! RT boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
non-hateful,!!!!!!! RT Dawg!!!! RT You ever fuck a bitch and she start to cry? You be confused as shit
non-hateful,!!!!!!!!! RT she look like a tranny
non-hateful,!!!!!!!!!!!!! RT The shit you hear about me might be true or it might be faker than the bitch who told it to ya &
hateful,"!!!!!!!!!!!!!!!!!!""The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &"
non-hateful,"!!!!!!""I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
non-hateful,!!!!&I'm tired of you big bitches coming for us skinny girls!!&
non-hateful,""" &amp; you might not get ya bitch back &amp; thats that """
hateful,""" :hobbies include: fighting Mariam""

bitch"
non-hateful,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
non-hateful,""" Murda Gang bitch its Gang Land """
non-hateful,""" So hoes that smoke are losers ? "" yea ... go on IG"
non-hateful,""" bad bitches is the only thing that i like """
hateful,""" bitch get up off me """
non-hateful,""" bitch nigga miss me with it """
non-hateful,""" bitch plz whatever """
hateful,""" bitch who do you love """
non-hateful,""" bitches get cut off everyday B """
non-hateful,""" black bottle &amp; a bad bitch """
non-hateful,""" broke bitch cant tell me nothing """
non-hateful,""" cancel that bitch like Nino """
non-hateful,""" cant you see these hoes wont change """
non-hateful,""" fuck no that bitch dont even suck dick "" &the Kermit videos bout to fuck IG up"
non-hateful,""" got ya bitch tip toeing on my hardwood floors "" &"
non-hateful,""" her pussy lips like Heaven doors "" &"
non-hateful,""" hoe what its hitting for """
non-hateful,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &"
non-hateful,""" i need a trippy bitch who fuck on Hennessy """
non-hateful,""" i spend my money how i want bitch its my business """
non-hateful,""" i txt my old bitch my new bitch pussy wetter """
non-hateful,""" i'd say im back to the old me but my old bitches would get excited "" &"
non-hateful,""" if you aint bout that Murder Game pussy nigga shut up """
non-hateful,""" if you're toes ain't done you pussy stinks """
non-hateful,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
non-hateful,""" is that ya bitch """
non-hateful,""" it aint nothing to cut a bitch off """
non-hateful,""" jus meet son now he ya mane ass bitches "" "
non-hateful,""" lames crying over hoes thats tears of a clown """
non-hateful,""" like Snoop said in 94 we dont love these hoes """
non-hateful,""" momma said no pussy cats inside my doghouse """
non-hateful,""" most hated but the hoes favorite "" "
non-hateful,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" "
non-hateful,""" pimps up pimps up hoes down "" Future voice"
non-hateful,""" post a picture of that pussy get 200 likes """
non-hateful,""" pussy is a powerful drug "" &"
non-hateful,""" quick piece of pussy call it a drive by """
non-hateful,""" running round here like some brand new pussy thats bout to get fucked """
non-hateful,""" these bitches even worst they'll send them guys for you """
hateful,""" these hoes like niggas that spend money not talk bout it """
hateful,""" we dont trust these niggas all these bitches """
non-hateful,""" yall niggas b cuffing hoes cause yall aint never have bitches """
non-hateful,""" you dodge a bullet "" &&da bitches I cut off pregnant or bound to be ....thank God &"
non-hateful,""" young Pill Chamberlain these bitches love my music """
non-hateful,"""&Trump probably cleaner than most of these twitter hoes but........."""
non-hateful,"""&niggas couldn't wait to act like bitches tonight"""
non-hateful,"""&ima steal his cat n replace it with a pitbull &RT He a bitch you should do it"""
non-hateful,"""&amp; he's gone always be a hoe"""
non-hateful,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
non-hateful,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
non-hateful,"""I probably wouldn&mind school as much if we didn&have to deal with bitch ass teachers"". Retweet"
non-hateful,"""I'm a fucking fag they said"""
non-hateful,"""Females think dating a pussy is cute now? how does doing this stuff make him a pussy?"
non-hateful,"""-SimplyAddictedToGuys woof woof hot scally lad"
non-hateful,"""Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
non-hateful,"""How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &I SWEAR!!!!!"
non-hateful,"""woof woof and hot soles"
non-hateful,"""Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
non-hateful,"""bitch fuck u maybe you'll get better. Just "
hateful,"""Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
non-hateful,"""Why the eggplant emoji doe?""y he say she looked like scream lmao"
non-hateful,"""Hennessey Venom GT &that's one sexy bitch"
non-hateful,"""Him seh me pussy wetter then a shower curtain...."
non-hateful,"""and every need to see that pic I just posted because that bitch just said the most racist shit"""
hateful,"""Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life "
non-hateful,"""baby monkey bathtime This is soooo ADORABLE!"
non-hateful,"""&I ain't shit ."" Damn Skippy lol"
hateful,"""u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
non-hateful,"""0 rings 0 mvps 0 bitches lol"
hateful,"""ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
non-hateful,"""The facts on tattoos...tattoo he's a pussy with not tattooing them nipples"
non-hateful,"""&RT Bitches be wanting to act like niggas so bad &that shit aint cuteeeee"" but niggas act like bitches.."
non-hateful,"""Get worshiping bitch! woof woof"
hateful,"""Wow. RT I'm lost. Are those buttcheek piercings? yeah she's a hoe"
non-hateful,"""Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
hateful,"""queer"" gaywad"
non-hateful,"""faggot read my tweets after dat k"" it wasn't even funny lol"
non-hateful,"""This bitch was so ungrateful fr ..... LULWHORE"
non-hateful,"""I been kidnapped yo bitch"""
hateful,"""alsarabsss"" hes a beaner smh you can tell hes a mexican"
hateful,"""happy birthday nigs"" Thanks yo"
hateful,"""when ur teacher tells u that u have homework "
hateful,"""""that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. "
non-hateful,"""What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
hateful,"""Leafs better win this damn game so I can go riot and shit you better start looting my nig"
non-hateful,"""Going back to school sucks more dick than the hoes who attend it."""
non-hateful,"""On my way to fuck yo bitch me as a 9 year old"
non-hateful,"""how come you never bring me food"" i dont have a car retard"
non-hateful,"""If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
hateful,"""How bout them Cowboys!!!!"" Shutup pussy"
non-hateful,"""LMAOOOOOOOOOOO this nigga &lt;bitch want likes for some depressing shit..foh"
non-hateful,"""girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
non-hateful,"""Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
non-hateful,"""Harlem shake is just an excuse to go full retard for 30 seconds."""
non-hateful,"""amen miley &but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
non-hateful,"""having one loyal female is wayyyyy better than having hoes , idc &"
non-hateful,"""Pussy licking pussy.... meow meow &"
non-hateful,"""Check out our 12th man. even with all those faggot ny fans in the stands"
non-hateful,"""What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
non-hateful,"""im the bitch okay nudes pat &wow"
hateful,"""you're fucking gay, blacklisted hoe"" Holding out for anyway "
non-hateful,"""The fuck be wrong with these bitches?"" Nobody knows"
non-hateful,"""Yall shut up:p"" make me bitch"
hateful,"""I hate a ""I'm pregnant"" type of bitch."""
non-hateful,"""Got bitches in the DM but I don't ever read'em"" which is y your top 3"
non-hateful,"""Baseball season for the win. This is where the love started"
non-hateful,"""Little stupid as bitch I don't fuck with yoooooouuuu.."""
non-hateful,"""she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
non-hateful,"""I'm an early bird and I'm a night owl, so I'm wise and have worms."""
non-hateful,"""Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
non-hateful,"""Pit Bulls Photographed As Lovely Fairy Tale Creatures *are* fairy tale creatures."
non-hateful,"""Aw."" ...fag, don't tweet ""aw"" to me lol"
non-hateful,"""As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha"
non-hateful,"""I didn't say anything tho"" kiss me then faggot"
non-hateful,"""this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut &yup"
non-hateful,"""I could go for a fat ass bitch on my lap"" same"
non-hateful,"""17 missed calls!!!! &yo P.O bitch twitter finna be screamn "
non-hateful,"""Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &"
non-hateful,"""&| Amo los pies fuck yeah"
non-hateful,"""These hoes be thinking Meat won't slap they ass &ainna bruh"
non-hateful,"""Yall bitches wit no edges be doing the most talking &"
non-hateful,"""Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
